Label	Probeset	NCBIGeneID	GeneSymbol	Chromosome	MapLocation
RNF25	64320	64320	RNF25	2	2q35
STK36	27148	27148	STK36	2	2q35
TTLL4	9654	9654	TTLL4	2	2p24.3-p24.1
CYP27A1	1593	1593	CYP27A1	2	2q35
IHH	3549	3549	IHH	2	2q33-q35
NHEJ1	79840	79840	NHEJ1	2	2q35
SLC23A3	151295	151295	SLC23A3	2	2q35
CNPPD1	27013	27013	CNPPD1	2	2q35
FAM134A	79137	79137	FAM134A	2	2q35
ZFAND2B	130617	130617	ZFAND2B	2	2q35
ABCB6	10058	10058	ABCB6	2	2q36
ATG9A	79065	79065	ATG9A	2	2q35
ANKZF1	55139	55139	ANKZF1	2	2q35
GLB1L	79411	79411	GLB1L	2	2q35
STK16	8576	8576	STK16	2	2q35
TUBA4A	7277	7277	TUBA4A	2	2q35
TUBA4B	80086	80086	TUBA4B	2	2q35
DNAJB2	3300	3300	DNAJB2	2	2q35
DNPEP	23549	23549	DNPEP	2	2q35
DES	1674	1674	DES	2	2q35
GMPPA	29926	29926	GMPPA	2	2q35
CHPF	79586	79586	CHPF	2	2q35
TMEM198	130612	130612	TMEM198	2	2q35
OBSL1	23363	23363	OBSL1	2	2q35
STK11IP	114790	114790	STK11IP	2	2q35
SGPP2	130367	130367	SGPP2	2	2q36.1
FARSB	10056	10056	FARSB	2	2q36.1
ACSL3	2181	2181	ACSL3	2	2q34-q35
SCG2	7857	7857	SCG2	2	2q35-q36
AP1S3	130340	130340	AP1S3	2	2q36.1
WDFY1	57590	57590	WDFY1	2	2q36.1
MRPL44	65080	65080	MRPL44	2	2q36.1
SERPINE2	5270	5270	SERPINE2	2	2q36.1
CUL3	8452	8452	CUL3	2	2q36.2
DOCK10	55619	55619	DOCK10	2	2q36.2
RHBDD1	84236	84236	RHBDD1	2	2q36.3
MFF	56947	56947	MFF	2	2q36.3
TM4SF20	79853	79853	TM4SF20	2	2q36.3
AGFG1	3267	3267	AGFG1	2	2q36.3
SLC19A3	80704	80704	SLC19A3	2	2q37
CCL20	6364	6364	CCL20	2	2q36.3
PID1	55022	55022	PID1	2	2q36.3
TRIP12	9320	9320	TRIP12	2	2q36.3
SP110	3431	3431	SP110	2	2q37.1
SP140	11262	11262	SP140	2	2q37.1
SP140L	93349	93349	SP140L	2	2q37.1
SP100	6672	6672	SP100	2	2q37.1
CAB39	51719	51719	CAB39	2	2q37.1
ITM2C	81618	81618	ITM2C	2	2q37
C2orf72	257407	257407	C2orf72	2	2q37.1
PSMD1	5707	5707	PSMD1	2	2q37.1
B3GNT7	93010	93010	B3GNT7	2	2q37.1|2q37.1
NCL	4691	4691	NCL	2	2q37.1
NMUR1	10316	10316	NMUR1	2	2q37.1
PTMA	5757	5757	PTMA	2	2q37.1
PDE6D	5147	5147	PDE6D	2	2q35-q36
COPS7B	64708	64708	COPS7B	2	2q37.1
DIS3L2	129563	129563	DIS3L2	2	2q37.1
ALPI	248	248	ALPI	2	2q37.1
TIGD1	200765	200765	TIGD1	2	2q37.1
EIF4E2	9470	9470	EIF4E2	2	2q37.1
GIGYF2	26058	26058	GIGYF2	2	2q37.1
KCNJ13	3769	3769	KCNJ13	2	2q37
C2orf82	389084	389084	C2orf82	2	2q37.1
NGEF	25791	25791	NGEF	2	2q37
INPP5D	3635.chr2.1	3635	INPP5D	2	2q37.1
ATG16L1	55054	55054	ATG16L1	2	2q37.1
DGKD	8527	8527	DGKD	2	2q37.1
USP40	55230	55230	USP40	2	2q37.1
UGT1A8	54576	54576	UGT1A8	2	2q37
UGT1A10	54575	54575	UGT1A10	2	2q37
HJURP	55355	55355	HJURP	2	2q37.1
MSL3P1	151507	151507	MSL3P1	2	2q37.1
ARL4C	10123	10123	ARL4C	2	2q37.1
SH3BP4	23677	23677	SH3BP4	2	2q37.1-q37.2
AGAP1	116987	116987	AGAP1	2	2q37
ACKR3	57007	57007	ACKR3	2	2q37.3
COPS8	10920	10920	COPS8	2	2q37.3
COL6A3	1293	1293	COL6A3	2	2q37
MLPH	79083	79083	MLPH	2	2q37.3
RAB17	64284	64284	RAB17	2	2q37.3
LRRFIP1	9208	9208	LRRFIP1	2	2q37.3
RAMP1	10267	10267	RAMP1	2	2q36-q37.1
UBE2F	140739	140739	UBE2F	2	2q37.3
SCLY	51540	51540	SCLY	2	2q37.3
ILKAP	80895	80895	ILKAP	2	2q37.3
LOC643387	643387	643387	LOC643387	2	2q37.3
HES6	55502	55502	HES6	2	2q37.3
PER2	8864	8864	PER2	2	2q37.3
TRAF3IP1	26146	26146	TRAF3IP1	2	2q37.3
ASB1	51665	51665	ASB1	2	2q37
HDAC4	9759	9759	HDAC4	2	2q37.3
NDUFA10	4705	4705	NDUFA10	2	2q37.3
MYEOV2	150678	150678	MYEOV2	2	2q37.3
GPC1	2817	2817	GPC1	2	2q35-q37
ANKMY1	51281	51281	ANKMY1	2	2q37.3
DUSP28	285193	285193	DUSP28	2	2q37.3
RNPEPL1	57140	57140	RNPEPL1	2	2q37.3
CAPN10	11132	11132	CAPN10	2	2q37.3
GPR35	2859	2859	GPR35	2	2q37.3
MTERF4	130916	130916	MTERF4	2	2q37.3
PASK	23178	23178	PASK	2	2q37.3
PPP1R7	5510	5510	PPP1R7	2	2q37.3
ANO7	50636	50636	ANO7	2	2q37.3
HDLBP	3069	3069	HDLBP	2	2q37.3
FARP2	9855	9855	FARP2	2	2q37.3
STK25	10494	10494	STK25	2	2q37.3
BOK	666	666	BOK	2	2q37.3
THAP4	51078	51078	THAP4	2	2q37.3
ATG4B	23192	23192	ATG4B	2	2q37.3
DTYMK	1841	1841	DTYMK	2	2q37.3
ING5	84289	84289	ING5	2	2q37.3
D2HGDH	728294	728294	D2HGDH	2	2q37.3
NEU4	129807	129807	NEU4	2	2q37.3
PDCD1	5133	5133	PDCD1	2	2q37.3
CHL1	10752	10752	CHL1	3	3p26.1
CNTN4	152330	152330	CNTN4	3	3p26.3
TRNT1	51095	51095	TRNT1	3	3p25.1
CRBN	51185	51185	CRBN	3	3p26.2
SUMF1	285362	285362	SUMF1	3	3p26.1
SETMAR	6419	6419	SETMAR	3	3p26.1
BHLHE40	8553	8553	BHLHE40	3	3p26
ARL8B	55207	55207	ARL8B	3	3p26.1
EDEM1	9695	9695	EDEM1	3	3p26.1
LMCD1	29995	29995	LMCD1	3	3p25.3
RAD18	56852	56852	RAD18	3	3p25.3
THUMPD3	25917	25917	THUMPD3	3	3p25.3
SETD5	55209	55209	SETD5	3	3p25.3
MTMR14	64419	64419	MTMR14	3	3p26
BRPF1	7862	7862	BRPF1	3	3p26-p25
OGG1	4968	4968	OGG1	3	3p26.2
CAMK1	8536	8536	CAMK1	3	3p25.3
TADA3	10474	10474	TADA3	3	3p25.3
ARPC4	10093	10093	ARPC4	3	3p25.3
TTLL3	26140	26140	TTLL3	3	3p25.3
RPUSD3	285367	285367	RPUSD3	3	3p25.3
EMC3	55831	55831	EMC3	3	3p25.3
CIDEC	63924	63924	CIDEC	3	3p25.3
JAGN1	84522	84522	JAGN1	3	3p25.2
IL17RE	132014	132014	IL17RE	3	3p25.3
IL17RC	84818	84818	IL17RC	3	3p25.3|3p25.3-p24.1
CRELD1	78987	78987	CRELD1	3	3p25.3
CIDECP	152302	152302	CIDECP	3	3p25.3
FANCD2	2177	2177	FANCD2	3	3p26
BRK1	55845	55845	BRK1	3	3p25.3
VHL	7428	7428	VHL	3	3p25.3
IRAK2	3656	3656	IRAK2	3	3p25.3
TATDN2	9797	9797	TATDN2	3	3p25.3
SEC13	6396	6396	SEC13	3	3p25-p24
HRH1	3269	3269	HRH1	3	3p25
ATG7	10533	10533	ATG7	3	3p25.3
VGLL4	9686	9686	VGLL4	3	3p25.3
TAMM41	132001	132001	TAMM41	3	3p25.2
PPARG	5468	5468	PPARG	3	3p25
MKRN2	23609	23609	MKRN2	3	3p25
RAF1	5894	5894	RAF1	3	3p25
RPL32	6161	6161	RPL32	3	3p25-p24
IQSEC1	9922	9922	IQSEC1	3	3p25.2
NUP210	23225	23225	NUP210	3	3p25.1
HDAC11	79885	79885	HDAC11	3	3p25.1
CHCHD4	131474	131474	CHCHD4	3	3p25.1
TMEM43	79188	79188	TMEM43	3	3p25.1
XPC	7508	7508	XPC	3	3p25.1
LSM3	27258	27258	LSM3	3	3p25.1
SLC6A6	6533	6533	SLC6A6	3	3p25.1
CCDC174	51244	51244	CCDC174	3	3p25.1
FGD5	152273	152273	FGD5	3	3p25.1
FGD5-AS1	100505641.chr3.2	100505641	FGD5-AS1	3	None
NR2C2	7182	7182	NR2C2	3	3p25
MRPS25	64432	64432	MRPS25	3	3p25
RBSN	64145	64145	RBSN	3	3p25.1
CAPN7	23473	23473	CAPN7	3	3p24
SH3BP5	9467	9467	SH3BP5	3	3p24.3
METTL6	131965	131965	METTL6	3	3p25.1
EAF1	85403	85403	EAF1	3	3p25.1
HACL1	26061	26061	HACL1	3	3p25.1
BTD	686	686	BTD	3	3p25
ANKRD28	23243	23243	ANKRD28	3	3p25.1
DPH3	285381	285381	DPH3	3	3p25.1
OXNAD1	92106	92106	OXNAD1	3	3p25-p24
RFTN1	23180	23180	RFTN1	3	3p24.3
PLCL2	23228	23228	PLCL2	3	3p24.3
TBC1D5	9779	9779	TBC1D5	3	3p24.3
SATB1	6304	6304	SATB1	3	3p23
RAB5A	5868	5868	RAB5A	3	3p24.3
KAT2B	8850	8850	KAT2B	3	3p24
SGO1	151648	151648	SGO1	3	3p24.3
UBE2E2	7325	7325	UBE2E2	3	3p24.2
UBE2E1	7324	7324	UBE2E1	3	3p24.2
NKIRAS1	28512	28512	NKIRAS1	3	3p24.2
RPL15	6138	6138	RPL15	3	3p24.2
NR1D2	9975	9975	NR1D2	3	3p24.2
TOP2B	7155	7155	TOP2B	3	3p24
NGLY1	55768	55768	NGLY1	3	3p24.2
OXSM	54995	54995	OXSM	3	3p24.2
SLC4A7	9497	9497	SLC4A7	3	3p22
CMC1	152100	152100	CMC1	3	3p24.1
AZI2	64343	64343	AZI2	3	3p24.1
TGFBR2	7048	7048	TGFBR2	3	3p22
STT3B	201595	201595	STT3B	3	3p23
GPD1L	23171	23171	GPD1L	3	3p22.3
CMTM8	152189	152189	CMTM8	3	3p22.3
CMTM7	112616	112616	CMTM7	3	3p22.3
CMTM6	54918	54918	CMTM6	3	3p22.3
DYNC1LI1	51143	51143	DYNC1LI1	3	3p22.3
CNOT10	25904	25904	CNOT10	3	3p22.3
GLB1	2720	2720	GLB1	3	3p21.33
CRTAP	10491	10491	CRTAP	3	3p22.3
UBP1	7342	7342	UBP1	3	3p22.3
CLASP2	23122	23122	CLASP2	3	3p22.3
PDCD6IP	10015	10015	PDCD6IP	3	3p22.3
TRANK1	9881	9881	TRANK1	3	3p22.2
EPM2AIP1	9852	9852	EPM2AIP1	3	3p22.1
MLH1	4292	4292	MLH1	3	3p21.3
LRRFIP2	9209	9209	LRRFIP2	3	3p22.2
GOLGA4	2803	2803	GOLGA4	3	3p22-p21.3
CTDSPL	10217	10217	CTDSPL	3	3p21.3
VILL	50853	50853	VILL	3	3p21.3
PLCD1	5333	5333	PLCD1	3	3p22-p21.3
ACAA1	30	30	ACAA1	3	3p22.2
MYD88	4615	4615	MYD88	3	3p22
OXSR1	9943	9943	OXSR1	3	3p22.2
XYLB	9942	9942	XYLB	3	3p22-p21.3
EXOG	9941	9941	EXOG	3	3p21.3
WDR48	57599	57599	WDR48	3	3p21.33
GORASP1	64689	64689	GORASP1	3	3p22-p21.33
CSRNP1	64651	64651	CSRNP1	3	3p22
SLC25A38	54977	54977	SLC25A38	3	3p22.1
RPSA	3921	3921	RPSA	3	3p22.2
EIF1B	10289	10289	EIF1B	3	3p22.1
RPL14	9045	9045	RPL14	3	3p22-p21.2
ZNF621	285268	285268	ZNF621	3	3p22.1
CTNNB1	1499	1499	CTNNB1	3	3p21
TRAK1	22906	22906	TRAK1	3	3p22.1
VIPR1	7433	7433	VIPR1	3	3p22
SEC22C	9117	9117	SEC22C	3	3p22.1
SS18L2	51188	51188	SS18L2	3	3p21
NKTR	4820	4820	NKTR	3	3p22.1
ZBTB47	92999	92999	ZBTB47	3	3p22.1
HIGD1A	25994	25994	HIGD1A	3	3p22.1
POMGNT2	84892	84892	POMGNT2	3	3p22.1
SNRK	54861	54861	SNRK	3	3p22.1
ANO10	55129	55129	ANO10	3	3p22.1
ABHD5	51099	51099	ABHD5	3	3p21
TCAIM	285343	285343	TCAIM	3	3p21.31
ZNF445	353274	353274	ZNF445	3	3p21.32
ZNF197	10168	10168	ZNF197	3	3p21
ZNF35	7584	7584	ZNF35	3	3p21.32
ZNF502	91392	91392	ZNF502	3	3p21.31
KIAA1143	57456	57456	KIAA1143	3	3p21.31
TMEM42	131616	131616	TMEM42	3	3p21.31
ZDHHC3	51304	51304	ZDHHC3	3	3p21.31
EXOSC7	23016	23016	EXOSC7	3	3p21.31
CLEC3B	7123	7123	CLEC3B	3	3p22-p21.3
CDCP1	64866	64866	CDCP1	3	3p21.31
LARS2	23395	23395	LARS2	3	3p21.3
LIMD1	8994	8994	LIMD1	3	3p21.3
SACM1L	22908	22908	SACM1L	3	3p21.3
SLC6A20	54716	54716	SLC6A20	3	3p21.3
LZTFL1	54585	54585	LZTFL1	3	3p21.3
CCR9	10803	10803	CCR9	3	3p21.3
FYCO1	79443	79443	FYCO1	3	3p21.31
CXCR6	10663	10663	CXCR6	3	3p21
CCR1	1230	1230	CCR1	3	3p21
CCR2	729230	729230	CCR2	3	3p21.31
CCR5	1234	1234	CCR5	3	3p21.31
CCRL2	9034	9034	CCRL2	3	3p21
ALS2CL	259173	259173	ALS2CL	3	3p21.31
CCDC12	151903	151903	CCDC12	3	3p21.31
NBEAL2	23218	23218	NBEAL2	3	3p21.31
SETD2	29072	29072	SETD2	3	3p21.31
KLHL18	23276	23276	KLHL18	3	3p21.31
PTPN23	25930	25930	PTPN23	3	3p21.3
SCAP	22937	22937	SCAP	3	3p21.31
ELP6	54859	54859	ELP6	3	3p21.31
SMARCC1	6599	6599	SMARCC1	3	3p21.31
DHX30	22907	22907	DHX30	3	3p21.31
MAP4	4134	4134	MAP4	3	3p21
ZNF589	51385	51385	ZNF589	3	3p21
NME6	10201	10201	NME6	3	3p21
PLXNB1	5364	5364	PLXNB1	3	3p21.31
CCDC51	79714	79714	CCDC51	3	3p21.31
TMA7	51372	51372	TMA7	3	3p21.31
ATRIP	84126	84126	ATRIP	3	3p21.31
SHISA5	51246	51246	SHISA5	3	3p21.31
PFKFB4	5210	5210	PFKFB4	3	3p22-p21
UQCRC1	7384	7384	UQCRC1	3	3p21.3
SLC26A6	65010	65010	SLC26A6	3	3p21.3
NCKIPSD	51517	51517	NCKIPSD	3	3p21
IP6K2	51447	51447	IP6K2	3	3p21.31
PRKAR2A	5576	5576	PRKAR2A	3	3p21.3-p21.2
SLC25A20	788	788	SLC25A20	3	3p21.31
ARIH2OS	646450	646450	ARIH2OS	3	3p21.31
ARIH2	10425	10425	ARIH2	3	3p21
P4HTM	54681	54681	P4HTM	3	3p21.31|3p21.3
WDR6	11180	11180	WDR6	3	3p21.31
DALRD3	55152	55152	DALRD3	3	3p21.31
NDUFAF3	25915	25915	NDUFAF3	3	3p21.31
IMPDH2	3615	3615	IMPDH2	3	3p21.2
QRICH1	54870	54870	QRICH1	3	3p21.31
QARS	5859	5859	QARS	3	3p21.31
USP19	10869	10869	USP19	3	3p21.31
LAMB2	3913	3913	LAMB2	3	3p21
CCDC71	64925	64925	CCDC71	3	3p21.31
KLHDC8B	200942	200942	KLHDC8B	3	3p21.31
C3orf62	375341	375341	C3orf62	3	3p21.31
USP4	7375	7375	USP4	3	3p21.3
GPX1	2876	2876	GPX1	3	3p21.3
RHOA	387	387	RHOA	3	3p21.3
TCTA	6988	6988	TCTA	3	3p21
AMT	275	275	AMT	3	3p21.31
NICN1	84276	84276	NICN1	3	3p21.31
DAG1	1605	1605	DAG1	3	3p21
APEH	327	327	APEH	3	3p21.31
MST1	4485	4485	MST1	3	3p21
RNF123	63891	63891	RNF123	3	3p24.3
GMPPB	29925	29925	GMPPB	3	3p21.31
IP6K1	9807	9807	IP6K1	3	3p21.31
UBA7	7318	7318	UBA7	3	3p21
TRAIP	10293	10293	TRAIP	3	3p21.31
MST1R	4486	4486	MST1R	3	3p21.3
MON1A	84315	84315	MON1A	3	3p21.31
RBM6	10180	10180	RBM6	3	3p21.3
RBM5	10181	10181	RBM5	3	3p21.3
SEMA3F	6405	6405	SEMA3F	3	3p21.3
GNAI2	2771	2771	GNAI2	3	3p21.31
SEMA3B	7869	7869	SEMA3B	3	3p21.3
IFRD2	7866	7866	IFRD2	3	3p21.3
HYAL3	8372	8372	HYAL3	3	3p21.3
HYAL2	8692	8692	HYAL2	3	3p21.3
TUSC2	11334	11334	TUSC2	3	3p21.3
RASSF1	11186	11186	RASSF1	3	3p21.3
NPRL2	10641	10641	NPRL2	3	3p21.3
CYB561D2	11068	11068	CYB561D2	3	3p21.3
TMEM115	11070	11070	TMEM115	3	3p21.3
HEMK1	51409	51409	HEMK1	3	3p21.3
CISH	1154	1154	CISH	3	3p21.3
MAPKAPK3	7867	7867	MAPKAPK3	3	3p21.3
MANF	7873	7873	MANF	3	3p21.1
RBM15B	29890	29890	RBM15B	3	3p21.2
VPRBP	9730	9730	VPRBP	3	3p21.2
TEX264	51368	51368	TEX264	3	3p21.31
RRP9	9136	9136	RRP9	3	3p21.2
PARP3	10039	10039	PARP3	3	3p21.2
PCBP4	57060	57060	PCBP4	3	3p21
ABHD14B	84836	84836	ABHD14B	3	3p21.2
ABHD14A	25864	25864	ABHD14A	3	3p21.1
ACY1	95	95	ACY1	3	3p21.1
RPL29	6159	6159	RPL29	3	3p21.3-p21.2
DUSP7	1849	1849	DUSP7	3	3p21
POC1A	25886	25886	POC1A	3	3p21.2
ALAS1	211	211	ALAS1	3	3p21.1
TWF2	11344	11344	TWF2	3	3p21.1
PPM1M	132160	132160	PPM1M	3	3p21.2
WDR82	80335	80335	WDR82	3	3p21.2
GLYCTK	132158	132158	GLYCTK	3	3p21.1
BAP1	8314	8314	BAP1	3	3p21.1
PHF7	51533	51533	PHF7	3	3p21.1
SEMA3G	56920	56920	SEMA3G	3	3p21.1
NISCH	11188	11188	NISCH	3	3p21.1
STAB1	23166	23166	STAB1	3	3p21.1
NT5DC2	64943	64943	NT5DC2	3	3p21.1
SMIM4	440957	440957	SMIM4	3	3p21.1
PBRM1	55193	55193	PBRM1	3	3p21
GNL3	26354	26354	GNL3	3	3p21.1
GLT8D1	55830	55830	GLT8D1	3	3p21.1
SPCS1	28972	28972	SPCS1	3	3p21.1
NEK4	6787	6787	NEK4	3	3p21.1
TMEM110	375346	375346	TMEM110	3	3p21.1
SFMBT1	51460	51460	SFMBT1	3	3p21.1
RFT1	91869	91869	RFT1	3	3p21.1
PRKCD	5580	5580	PRKCD	3	3p21.31
TKT	7086	7086	TKT	3	3p14.3
DCP1A	55802	55802	DCP1A	3	3p21.1
CHDH	55349	55349	CHDH	3	3p21.1
IL17RB	55540	55540	IL17RB	3	3p21.1
ACTR8	93973	93973	ACTR8	3	None
SELK	58515	58515	SELK	3	3p21.31
WNT5A	7474	7474	WNT5A	3	3p21-p14
CCDC66	285331	285331	CCDC66	3	3p14.3
FAM208A	23272	23272	FAM208A	3	3p14.3
ARHGEF3	50650	50650	ARHGEF3	3	3p14.3
APPL1	26060	26060	APPL1	3	3p14.3
PDE12	201626	201626	PDE12	3	3p14.3
ARF4	378	378	ARF4	3	3p14.3
DENND6A	201627	201627	DENND6A	3	3p14.3
SLMAP	7871	7871	SLMAP	3	3p21.2-p14.3
FLNB	2317	2317	FLNB	3	3p14.3
DNASE1L3	1776	1776	DNASE1L3	3	3p14.3
ABHD6	57406	57406	ABHD6	3	3p14.3
RPP14	11102	11102	RPP14	3	3p14.3
PXK	54899	54899	PXK	3	3p14.3
PDHB	5162	5162	PDHB	3	3p21.1-p14.2
KCTD6	200845	200845	KCTD6	3	3p14.3
ACOX2	8309	8309	ACOX2	3	3p14.3
FAM3D	131177	131177	FAM3D	3	3p14.2
ID2B	84099	84099	ID2B	3	3p14.2
C3orf14	57415	57415	C3orf14	3	3p14.2
THOC7	80145	80145	THOC7	3	3p14.1
ATXN7	6314	6314	ATXN7	3	3p21.1-p12
PSMD6	9861	9861	PSMD6	3	3p14.1
SLC25A26	115286.chr3.2	115286	SLC25A26	3	3p14.1
LRIG1	26018	26018	LRIG1	3	3p14
SUCLG2	8801	8801	SUCLG2	3	3p14.1
EOGT	285203	285203	EOGT	3	3p14.1
TMF1	7110	7110	TMF1	3	3p14.1
UBA3	9039	9039	UBA3	3	3p14.1
ARL6IP5	10550	10550	ARL6IP5	3	3p14
FRMD4B	23150	23150	FRMD4B	3	3p14.1
FOXP1	27086	27086	FOXP1	3	3p14.1
EIF4E3	317649	317649	EIF4E3	3	3p14
RYBP	23429	23429	RYBP	3	3p13
SHQ1	55164	55164	SHQ1	3	3p13
PPP4R2	151987	151987	PPP4R2	3	3p13
PDZRN3	23024	23024	PDZRN3	3	3p13
FAM86DP	692099	692099	FAM86DP	3	3p12.3
ROBO1	6091	6091	ROBO1	3	3p12
GBE1	2632	2632	GBE1	3	3p12.3
CHMP2B	25978	25978	CHMP2B	3	3p11.2
CGGBP1	8545	8545	CGGBP1	3	3p11.1
ZNF654	55279	55279	ZNF654	3	3p11.1
C3orf38	285237	285237	C3orf38	3	3p11.1
PROS1	5627	5627	PROS1	3	3q11.2
STX19	415117	415117	STX19	3	3q11
DHFRL1	200895	200895	DHFRL1	3	3q11.1
NSUN3	63899	63899	NSUN3	3	3q11.1
MINA	84864	84864	MINA	3	3q11.2
CLDND1	56650	56650	CLDND1	3	3q12.1
CPOX	1371	1371	CPOX	3	3q12
FILIP1L	11259	11259	FILIP1L	3	3q12.1
TBC1D23	55773	55773	TBC1D23	3	3q12.2
NIT2	56954	56954	NIT2	3	3q12.2
TOMM70	9868	9868	TOMM70	3	3q12.2
ADGRG7	84873	84873	ADGRG7	3	3q12.2
TFG	10342	10342	TFG	3	3q12.2
SENP7	57337	57337	SENP7	3	3q12
TRMT10C	54931	54931	TRMT10C	3	3q12.3
PCNP	57092	57092	PCNP	3	3q12.3
ZBTB11	27107	27107	ZBTB11	3	3q12.3
RPL24	6152	6152	RPL24	3	3q12
NXPE3	91775	91775	NXPE3	3	3q12.3
NFKBIZ	64332	64332	NFKBIZ	3	3p12-q12
ALCAM	214	214	ALCAM	3	3q13.1
CBLB	868	868	CBLB	3	3q13.11
BBX	56987	56987	BBX	3	3q13.1
CD47	961	961	CD47	3	3q13.1-q13.2
IFT57	55081	55081	IFT57	3	3q13.13
HHLA2	11148	11148	HHLA2	3	3q13.13
DZIP3	9666	9666	DZIP3	3	3q13.13
RETNLB	84666	84666	RETNLB	3	3q13.1
FLJ22763	401081	401081	FLJ22763	3	3q13.13
NECTIN3	25945.chr3.1	25945	NECTIN3	3	3q13
CD96	10225	10225	CD96	3	3q13.13-q13.2
ABHD10	55347	55347	ABHD10	3	3q13.2
C3orf52	79669	79669	C3orf52	3	3q13.2
GCSAM	257144	257144	GCSAM	3	3q13.2
CD200	4345	4345	CD200	3	3q13.2
ATG3	64422	64422	ATG3	3	3q13.2
SLC35A5	55032	55032	SLC35A5	3	3q13.2
CCDC80	151887	151887	CCDC80	3	3q13.2
GTPBP8	29083	29083	GTPBP8	3	3q13.2
C3orf17	25871	25871	C3orf17	3	3q13.2
SIDT1	54847	54847	SIDT1	3	3q13.2
USF3	205717	205717	USF3	3	3q13.2
NAA50	80218	80218	NAA50	3	3q13.2
ATP6V1A	523	523	ATP6V1A	3	3q13.31
GRAMD1C	54762	54762	GRAMD1C	3	3q13.31
ZDHHC23	254887	254887	ZDHHC23	3	3q13.31
QTRT2	79691	79691	QTRT2	3	3q13.31
TIGIT	201633	201633	TIGIT	3	3q13.31
B4GALT4	8702	8702	B4GALT4	3	3q13.3
ARHGAP31	57514	57514	ARHGAP31	3	3q13.33
TMEM39A	55254	55254	TMEM39A	3	3q13.33
POGLUT1	56983	56983	POGLUT1	3	3q13.33
TIMMDC1	51300	51300	TIMMDC1	3	3q13.33
ADPRH	141	141	ADPRH	3	3q13.31-q13.33
COX17	10063	10063	COX17	3	3q13.33
NR1I2	8856	8856	NR1I2	3	3q12-q13.3
GSK3B	2932	2932	GSK3B	3	3q13.3
LRRC58	116064	116064	LRRC58	3	3q13.33
FSTL1	11167	11167	FSTL1	3	3q13.33
NDUFB4	4710	4710	NDUFB4	3	3q13.33
HGD	3081	3081	HGD	3	3q13.33
RABL3	285282	285282	RABL3	3	3q13.33
GTF2E1	2960	2960	GTF2E1	3	3q21-q24
HCLS1	3059	3059	HCLS1	3	3q13
GOLGB1	2804	2804	GOLGB1	3	3q13
IQCB1	9657	9657	IQCB1	3	3q13.33|3q21.1
EAF2	55840	55840	EAF2	3	3q13.33
ILDR1	286676	286676	ILDR1	3	3q13.33
CD86	942	942	CD86	3	3q21
CSTA	1475	1475	CSTA	3	3q21
CCDC58	131076	131076	CCDC58	3	3q21.1
FAM162A	26355	26355	FAM162A	3	3q21.1
WDR5B	54554	54554	WDR5B	3	3q21.1
KPNA1	3836	3836	KPNA1	3	3q21
PARP9	83666	83666	PARP9	3	3q21
DTX3L	151636	151636	DTX3L	3	3q21.1
PARP14	54625	54625	PARP14	3	3q21.1
HSPBAP1	79663	79663	HSPBAP1	3	3q21.1
DIRC2	84925	84925	DIRC2	3	3q21.1
PDIA5	10954	10954	PDIA5	3	3q21.1
SEC22A	26984	26984	SEC22A	3	3q21.1
HACD2	201562	201562	HACD2	3	3q21.1
MYLK	4638	4638	MYLK	3	3q21
CCDC14	64770	64770	CCDC14	3	3q21.1
KALRN	8997	8997	KALRN	3	3q21.2
UMPS	7372	7372	UMPS	3	3q13
ITGB5	3693	3693	ITGB5	3	3q21.2
MUC13	56667	56667	MUC13	3	3q21.2
HEG1	57493	57493	HEG1	3	3q21.2
SLC12A8	84561	84561	SLC12A8	3	3q21.2
ZNF148	7707	7707	ZNF148	3	3q21
SNX4	8723	8723	SNX4	3	3q21.2
OSBPL11	114885	114885	OSBPL11	3	3q21
SLC41A3	54946	54946	SLC41A3	3	3q21.2
ZXDC	79364	79364	ZXDC	3	3q21.3
CHCHD6	84303	84303	CHCHD6	3	3q21.3
PLXNA1	5361	5361	PLXNA1	3	3q21.3
TPRA1	131601	131601	TPRA1	3	3q21.2
MCM2	4171	4171	MCM2	3	3q21
PODXL2	50512	50512	PODXL2	3	3q21.3
ABTB1	80325	80325	ABTB1	3	3q21
MGLL	11343	11343	MGLL	3	3q21.3
SEC61A1	29927	29927	SEC61A1	3	3q21.3
RUVBL1	8607	8607	RUVBL1	3	3q21
EEFSEC	60678	60678	EEFSEC	3	3q21.3
GATA2	2624	2624	GATA2	3	3q21.3
RPN1	6184	6184	RPN1	3	3q21.3
RAB7A	7879	7879	RAB7A	3	3q21.3
ACAD9	28976	28976	ACAD9	3	3q21.3
EFCC1	79825	79825	EFCC1	3	3q21.3
RAB43	339122	339122	RAB43	3	3q21.3
ISY1	57461	57461	ISY1	3	3q21.3
CNBP	7555	7555	CNBP	3	3q21
COPG1	22820	22820	COPG1	3	3q21.3
HMCES	56941	56941	HMCES	3	3q21.3
H1FX	8971	8971	H1FX	3	3q21.3
H1FX-AS1	339942	339942	H1FX-AS1	3	3q21.3
RPL32P3	132241	132241	RPL32P3	3	3q21.3
MBD4	8930	8930	MBD4	3	3q21.3
IFT122	55764	55764	IFT122	3	3q21
PLXND1	23129	23129	PLXND1	3	3q22.1
TMCC1	23023	23023	TMCC1	3	3q22.1
PIK3R4	30849	30849	PIK3R4	3	3q22.1
ATP2C1	27032	27032	ATP2C1	3	3q22.1
